iter	Passed	Remaining
0	2	231
1	4	231
2	6	222
3	8	198
4	10	192
5	12	190
6	15	201
7	16	194
8	19	193
9	21	190
10	22	185
11	24	182
12	26	178
13	29	180
14	31	177
15	33	174
16	35	170
17	36	167
18	38	164
19	40	161
20	42	159
21	44	158
22	46	155
23	48	152
24	50	150
25	51	147
26	53	145
27	55	142
28	57	140
29	59	139
30	61	137
31	63	134
32	65	131
33	66	129
34	68	127
35	70	124
36	72	122
37	75	122
38	76	120
39	78	117
40	80	115
41	81	112
42	82	109
43	84	107
44	86	105
45	89	104
46	91	102
47	93	100
48	95	99
49	96	96
50	98	94
51	100	92
52	102	90
53	105	89
54	106	87
55	108	85
56	111	83
57	112	81
58	114	79
59	116	77
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	129	66
66	130	64
67	133	62
68	135	60
69	137	58
70	139	56
71	140	54
72	143	52
73	145	51
74	147	49
75	149	47
76	151	45
77	153	43
78	155	41
79	157	39
80	159	37
81	161	35
82	164	33
83	166	31
84	168	29
85	169	27
86	172	25
87	174	23
88	176	21
89	179	19
90	181	17
91	183	15
92	185	13
93	187	11
94	188	9
95	190	7
96	193	5
97	195	3
98	196	1
99	198	0
